description,category
ordered for the night shift this month today done cleared today,food
chai cleared,food
cheezein kharidi this month this month today,shopping
Skill development course cleared,education
Office maintenance cleared done cleared,misc
team collaboration tool subscription this month,subscriptions
chai cleared done this month today this month,food
primme video today,entertainment
saman kharida done done today cleared this month,shopping
Monthly retainer received done today done cleared,salary
tech accessories restocked this month this month today,shopping
Design project paid cleared done done,salary
materials for the big project this month cleared cleared today,raw_material
Monthly retainer received done today,salary
saman kharida done,shopping
subscribed to streaming service this month today cleared,entertainment
PVR movie tickets this month cleared this month this month,entertainment
Water bill MCGM done this month,utilities
grocrey from dmart today today cleared cleared this month,food
groccery shopping today this month,food
Ola ride to client this month,transport
gym today,healthcare
Meesho order this month today cleared,shopping
halwai se mithai li diwali ke liye this month cleared cleared this month this month cleared,food
Influencer collaboration cleared today,marketing
Hotel booking Mumbai cleared today,travel
workshop today cleared this month this month done this month,education
bought books for office library done done cleared today,education
Figma team plan today today done this month,subscriptions
GitHub Pro today this month,subscriptions
BSES electricity bill this month cleared,utilities
booked flights for client meeting done today,travel
employee medical allowance this month done,healthcare
Hotel booking Mumbai cleared today cleared this month done,travel
breakfast this month cleared,food
team celebratory dinner,food
Society maintenance cleared cleared today today today,utilities
kiraya,rent
brought food for the whole floor done cleared today done this month,food
kaam ka paisa mila cleared this month today this month this month,salary
Invoice #1023 credited cleared,salary
Parking fee this month done this month today today,transport
annual renewal done today this month,subscriptions
evening mein chai pi office mein today today cleared,food
shoping this month today this month,shopping
physio session after injury done today,healthcare
ola cleared this month done today,transport
team celebratory dinner cleared,food
paani ka bill cleared cleared this month,utilities
Stock purchase today this month,raw_material
weekend trip with family cleared this month,entertainment
monthly SaaS charges cleared today today cleared,subscriptions
shared auto with a colleague done done today this month,transport
Co-working space fee today,rent
breakfast at the station done done today today,food
evening snacks for the office today this month today cleared,food
dinner this month today today,food
office rent cleared,rent
groceries this month this month,food
team celebratory dinner cleared this month done,food
incentive payment processed cleared done,salary
Inventory restock this month cleared,raw_material
breakfast cleared done,food
Mobile accessories done done this month this month,shopping
trade fair attendance,travel
ordered food for working late cleared this month cleared today today,food
bhojan ke liye diya,food
Contract staff wages cleared cleared,salary
ghar ka bill,utilities
weekend trip with family cleared cleared,entertainment
trip ke liye booking cleared today cleared,travel
Warehouse rent this month done this month,rent
freelancer invoice cleared,salary
training done done today cleared,education
petrol refill at petorl pump,transport
petrol bharwaya this month,transport
bike petrol topped up this month,transport
PVR movie tickets this month cleared this month done,entertainment
bought reference books for project this month today today this month,education
first aid kit restocked today this month,healthcare
MakeMyTrip package today today this month this month,travel
social campaign this quarter cleared this month,marketing
office rent today,rent
Google Ads campaign,marketing
saman kharida done this month today cleared this month today today,shopping
Blood test this month cleared today done cleared today,healthcare
PVR movie tickets this month done cleared cleared today,entertainment
netflix done done today cleared,entertainment
PS5 game purchase done this month today,entertainment
annual plan cheaper than monthly this month done cleared,subscriptions
Society maintenance cleared today this month done,utilities
AWS monthly bill done this month,subscriptions
Amazon office supplies cleared cleared this month today,shopping
Bowling alley cleared today cleared this month,entertainment
Figma team plan today today done today,subscriptions
team attended a webinar,education
generator fuel for power cut,utilities
fuel for delivery van today today today today,transport
Gaming recharge BGMI cleared done this month,entertainment
paani ka bill,utilities
Apollo pharmacy today today this month done done,healthcare
Trello Gold done today this month,subscriptions
Water bill MCGM cleared,utilities
Practo consultation cleared this month this month,healthcare
bought supplies for the office this month this month,shopping
payment received today done,salary
Vendor payment cleared this month today,raw_material
Office electricity cleared done this month cleared this month,utilities
rentt payment cleared,rent
maal kharida done done today today,raw_material
Google Workspace this month done done,subscriptions
lead generation campaign today done this month,marketing
ordered food for working late done this month,food
replacement parts for equipment done done done today,shopping
fuel for delivery van today cleared,transport
yaar ke saath bahar khaya cleared done this month,food
amazon this month today today done,shopping
employee medical allowance cleared this month,healthcare
Inventory restock this month this month done this month this month,raw_material
pharmcy today today,healthcare
Uber cab to airport this month,transport
Staff training program cleared,education
Bowling alley cleared today today,entertainment
shopping ki this month cleared,shopping
co-working subscription,rent
annual renewal done today cleared,subscriptions
Influencer collaboration done cleared,marketing
halwai se mithai li diwali ke liye this month done done this month,food
PS5 game purchase done this month,entertainment
lead generation campaign today done,marketing
water bill done this month,utilities
ghar ka bill done done,utilities
Google Workspace this month,subscriptions
Client visit Hyderabad done,travel
Office maintenance cleared done,misc
Adobe Creative Cloud done,subscriptions
paid for digital marketing cleared,marketing
paid the team for this month today this month,salary
rent done done today done,rent
inventory today today,raw_material
bonus credited this month done cleared today,salary
DMart monthly grocery today,food
Airtel postpaid done done,utilities
Inventory restock done done cleared,raw_material
Office electricity this month,utilities
received outstanding from old project cleared this month done,salary
trade fair attendance today this month cleared done done this month this month,travel
Microsoft 365 today this month,subscriptions
Flight ticket Bangalore done today,travel
Studio rent payment cleared this month this month,rent
hospital cleared done,healthcare
online shopping for the office done,shopping
Zepto veggies today cleared done done,food
mango shake and snacks this month cleared,food
covid test before travel,healthcare
monthly salary credited to account,salary
Coursera subscription done today today today done,education
chai cleared today,food
ordered food for working late cleared done today,food
Airtel postpaid done,utilities
GitHub Pro this month,subscriptions
Shop rental payment today,rent
Client visit Hyderabad this month today,travel
Freelance project completed done,salary
cab done,transport
Supplier payment today today today today,raw_material
paid for the storage locker,rent
kaam ka paisa mila cleared today today cleared,salary
rent done,rent
Train ticket Mumbai this month cleared cleared cleared cleared,transport
Vi mobile bill cleared done,utilities
filled up the tank before the highway trip this month,transport
entertanment today done,entertainment
Books from Amazon done this month this month,education
halwai se mithai li diwali ke liye this month done cleared,food
annual plan cheaper than monthly this month,subscriptions
annual ad budget utilized,marketing
software plan this month this month cleared,subscriptions
anay kharcha this month,misc
gym fees for the month cleared this month,healthcare
Project milestone payment cleared today today done,salary
tax today,misc
flight today today this month done,travel
shared auto with a colleague done,transport
netflix cleared,entertainment
breakfast cleared done done,food
prime today this month this month,entertainment
Facebook Ads payment this month done,marketing
random office expenses this week this month done this month,misc
travel cleared,travel
team attended a webinar today today cleared cleared this month this month,education
Project milestone payment cleared today cleared today done today,salary
Figma team plan today today done,subscriptions
rented a car for the week,transport
Monthly retainer received done done done this month,salary
basement storage monthly fee cleared today,rent
Inventory restock done done this month this month,raw_material
Microsoft 365 this month,subscriptions
lead generation campaign done,marketing
Monthly payroll,salary
ordered for the night shift done cleared,food
Project milestone payment cleared today today,salary
misc today today,misc
dawa kharidi this month this month done cleared done,healthcare
Monthly payroll cleared this month,salary
Slack paid plan today,subscriptions
sabzi mandi se kharide today done cleared,food
Payment from ABC Corp cleared,salary
sourced from new vendor this time done this month done,raw_material
petrol refill at petorl pump done this month,transport
Inventory restock this month this month done done done today,raw_material
ubar cab,transport
team dinner and bowling after sprint done this month cleared,entertainment
Piped gas bill MGNGL done this month this month this month cleared done this month,utilities
Jio Fiber broadband done,utilities
trip today today cleared,travel
annual maintenance of AC today cleared done this month,utilities
IKEA office furniture,shopping
tech accessories restocked this month today cleared,shopping
booked a cab for late night return today done,transport
Hotstar annual today this month cleared this month,entertainment
wifi router plan renewed cleared today this month,utilities
rented a car for the week done this month this month cleared done,transport
monthly salary credited to account today done cleared,salary
Bank charges cleared cleared,misc
kaam ka paisa mila done,salary
small stuff that adds up today cleared this month cleared today,misc
movie this month today this month done,entertainment
brought food for the whole floor done cleared today done,food
trip ke liye booking cleared today,travel
Blood test this month cleared today done this month today this month,healthcare
Piped gas bill MGNGL today today this month,utilities
generator fuel for power cut cleared cleared done this month,utilities
BSES electricity bill this month this month cleared cleared,utilities
outing done,entertainment
team lunch after meeting this month,food
paid for digital marketing done,marketing
repair,misc
bhojan ke liye paisa today,food
water bill done cleared done this month,utilities
Monthly retainer received done today done done,salary
Stock purchase,raw_material
chai aur nashta today today,food
employee medical allowance today,healthcare
small stuff that adds up today cleared today today,misc
promotion cleared done today this month,marketing
Piped gas bill MGNGL done this month cleared today,utilities
enrolled team in AWS certification,education
saman kharida cleared this month cleared,shopping
bought raw materials from vendor this month,raw_material
flight today today,travel
Flipkart laptop bag this month today cleared done done,shopping
training cleared,education
tech accessories restocked cleared this month,shopping
Dominos pizza cleared today done,food
Contract staff wages cleared this month,salary
primme video,entertainment
tax cleared done,misc
Auto fare to station cleared,transport
hospital cleared done done,healthcare
client entertainment travel done cleared this month this month,travel
annual maintenance of AC today,utilities
amazone order done this month this month,shopping
paid for skill upgrade training done today this month,education
Dropbox business done today done this month this month,subscriptions
generator fuel for power cut cleared today cleared this month,utilities
Weekend outing cleared cleared today,entertainment
team attended a webinar today cleared this month,education
bonus credited this month done cleared today cleared,salary
Piped gas bill MGNGL done today done,utilities
bought books for office library done done,education
Escape room cleared,entertainment
stationary purchase done this month this month,shopping
small stuff that adds up today cleared this month today today,misc
project wrapped payment came this month today,salary
Supplier payment cleared done,raw_material
Design project paid cleared,salary
clearing the petty cash cleared,misc
ghar ke liye rashan liya today,food
Books from Amazon done this month today cleared,education
first of the month kiraya sorted this month this month today cleared,rent
movie dekha,entertainment
cheezein kharidi this month this month,shopping
Coursera subscription today this month today done,education
Nykaa products this month this month done,shopping
breakfast cleared cleared today,food
small stuff that adds up today cleared this month,misc
promotion cleared,marketing
Piped gas bill MGNGL done this month this month done this month,utilities
health this month,healthcare
padhai ke liye kharcha this month today,education
Swiggy dinner order today cleared done,food
office drop arranged done,transport
Tata Power monthly bill cleared,utilities
monthly medicines from pharmacy cleared today done,healthcare
ghar ka ration done,food
cab done this month,transport
Nykaa products this month today done this month,shopping
grocrey from dmart today this month today today cleared today cleared,food
GitHub Pro this month cleared,subscriptions
Tata Power monthly bill today this month this month today today done,utilities
Skill development course,education
paani ka bill cleared cleared,utilities
ghar ke liye rashan liya done,food
vendor cleared done today,raw_material
movie this month today,entertainment
Freelance project completed today done cleared,salary
gym fees for the month this month done this month this month,healthcare
kaam ka paisa mila cleared today today cleared done,salary
Educational software done today today this month,education
grabbed a bite near office done this month cleared this month,food
Miscellaneous expense,misc
petrol bharwaya done this month this month,transport
Canva Pro this month today done done this month,subscriptions
Gaming recharge BGMI today,entertainment
Monthly retainer received done this month,salary
khana this month,food
repiar cost done cleared,misc
ad hoc repairs and fixes today done,misc
groccery shopping today this month done cleared this month,food
breakfast this month cleared today,food
groccery shopping today this month done today,food
annual plan cheaper than monthly today cleared cleared,subscriptions
PVR movie tickets this month cleared,entertainment
movie outing approved by manager this month today today cleared,entertainment
ordered food for working late cleared this month today,food
lunch mein kuch special kiya this month,food
annual maintenance of AC today done cleared,utilities
Office rent March cleared done this month done,rent
monthly internet at office,utilities
Contract staff wages cleared done,salary
Inventory restock this month this month done cleared cleared,raw_material
ola cleared this month this month,transport
Slack paid plan done,subscriptions
rented a car for the week done this month this month today done cleared,transport
yaar ke saath bahar khaya this month cleared cleared,food
yaar ke saath bahar khaya this month cleared cleared this month done,food
flipkart cleared,shopping
Restaurant dinner done done,food
bought books for office library cleared,education
Mobile accessories done done,shopping
Canva Pro this month today,subscriptions
monthly internet at office cleared,utilities
khana order kiya today this month cleared done,food
lunch bahar kiya done,food
movie outing approved by manager this month,entertainment
Advance tax this month this month done this month done today,misc
Coursera subscription today this month done,education
travell expense done,transport
trip today today done done,travel
Hotstar annual done cleared,entertainment
uber cleared cleared cleared today done,transport
Medicine purchase cleared done cleared this month,healthcare
evening mein chai pi office mein done today,food
new tool trialled and kept,subscriptions
subscribed to streaming service this month this month done,entertainment
promotion cleared done today,marketing
kaam ka paisa mila cleared today cleared,salary
Payment from ABC Corp done done,salary
Coursera subscription this month this month,education
Project milestone payment cleared today cleared today today,salary
team attended a webinar today today today today,education
sourced from new vendor this time cleared this month,raw_material
padhai ke liye kharcha this month done,education
AWS monthly bill today done today today done this month,subscriptions
SEO service payment done,marketing
inventory topped up before festival today,raw_material
team lunch after meeting done,food
annual maintenance of AC this month,utilities
cleared outstanding vendor dues today cleared,raw_material
pharmcy this month done done,healthcare
ordered food for working late cleared this month cleared this month this month cleared done,food
random charges this week today done cleared,misc
Dropbox business done today done,subscriptions
Staples stationery done this month this month,shopping
Library subscription today today cleared,education
dukaan ka kiraya this month cleared,rent
Train ticket Mumbai this month today,transport
GitHub Pro,subscriptions
monthly salary credited to account today done today today,salary
breakfast cleared cleared,food
bought books for office library today,education
movie outing approved by manager this month today,entertainment
training done done,education
brought food for the whole floor done cleared today done done this month,food
Project milestone payment cleared cleared this month,salary
office rent today this month cleared cleared,rent
subscribed to binge something new done today,entertainment
small stuff that adds up today cleared this month today,misc
travell expense cleared done cleared,transport
Cafe Coffee Day this month this month,food
Diagnostic lab test this month this month today,healthcare
repiar cost cleared done this month cleared this month today,misc
Advance tax this month this month done this month done,misc
BSES electricity bill this month this month cleared done done,utilities
grabbed a bite near office done this month cleared today,food
Travel insurance cleared this month,travel
evening mein chai pi office mein done today this month,food
Diagnostic lab test this month today,healthcare
trip today today done,travel
ghar ke liye rashan liya done done done,food
ordered for the night shift this month today today,food
drove to the client site today today cleared this month,transport
Dominos pizza cleared,food
tech accessories restocked cleared today cleared this month,shopping
small stuff that adds up today cleared this month cleared,misc
Escape room this month done,entertainment
shared auto with a colleague done done today this month done,transport
grabbed a bite near office,food
paid the light bill online today today done today,utilities
Flight ticket Bangalore this month cleared,travel
DMart monthly grocery today cleared this month cleared today,food
payment aayi client se cleared,salary
vision correction glasses cleared today,healthcare
annual maintenance of AC this month today done this month cleared this month today done,utilities
Train ticket Mumbai this month cleared cleared,transport
movie,entertainment
generator fuel for power cut cleared cleared cleared,utilities
breakfast at the station done cleared today,food
Stock purchase this month this month this month cleared this month,raw_material
trade fair attendance today this month cleared done done,travel
Consulting fee received cleared,salary
inventory topped up before festival this month done,raw_material
amazon done this month this month,shopping
Eye checkup today done done,healthcare
ola auto booked early morning today,transport
Starbucks coffee done done,food
uber cleared,transport
movie outing approved by manager done,entertainment
enrolled team in AWS certification today,education
Mobile accessories done done this month cleared today,shopping
breakfast at the station,food
cheezein kharidi this month today cleared,shopping
Swiggy dinner order done done,food
weekend trip with family cleared today,entertainment
ordered for the night shift this month today today today today,food
medicne purchase this month,healthcare
bhojan ke liye paisa done,food
team collaboration tool subscription,subscriptions
Stock purchase this month,raw_material
hosptial bill,healthcare
Canva Pro,subscriptions
shoping this month,shopping
yaar ke saath bahar khaya this month cleared cleared this month done today,food
employee medical allowance this month this month cleared,healthcare
Flight ticket Bangalore done,travel
Myntra uniforms today,shopping
replacement parts for equipment this month,shopping
light bill diya done,utilities
upskilling budget used this month this month this month,education
booked flights for client meeting done done,travel
advance taken from company,salary
AWS monthly bill done cleared,subscriptions
metro card bharwaya this month today,transport
went out with client for dinner today this month,food
levelling up the team skills this month this month,education
Piped gas bill MGNGL done this month this month this month cleared done,utilities
Travel insurance today this month this month,travel
travel done today,travel
payment aayi client se done cleared,salary
ad hoc repairs and fixes cleared,misc
new equipment from online store,shopping
wifi router plan renewed cleared this month cleared cleared,utilities
dawa kharidi cleared today,healthcare
Zomato lunch delivery,food
Zepto veggies cleared done done cleared cleared,food
Content creation fee done,marketing
annual maintenance of AC this month today,utilities
client sent money for the job cleared,salary
Subway lunch done today,food
Zepto veggies today cleared,food
Vendor payment cleared done,raw_material
Monthly office space done,rent
groceries this month this month today done today,food
ran ads campaign this month done this month,marketing
annual renewal done this month today,subscriptions
Skill development course today,education
prime today,entertainment
Google Workspace today today,subscriptions
shared auto with a colleague done done today done this month today,transport
Nykaa products cleared today cleared this month,shopping
Uber cab to airport done done this month today,transport
co-working subscription cleared done today,rent
team attended a webinar done today,education
hospital today done cleared today,healthcare
Team outing Goa,entertainment
marketing done done,marketing
drove to the client site today today cleared today,transport
Apollo pharmacy today today this month this month cleared this month,healthcare
salary diya staff ko today,salary
SEO work for website done this month,marketing
cheezein kharidi this month this month today done,shopping
saman kharida done done today cleared this month this month cleared done,shopping
Influencer collaboration done today,marketing
BSNL landline done,utilities
Netflix subscription this month,entertainment
team attended a webinar today,education
evening snacks for the office today done this month today,food
weekly vegetable haul done done,food
trip today today this month,travel
shared auto with a colleague done done this month,transport
Amazon Prime renewal today done,entertainment
yaar ke saath bahar khaya this month today cleared,food
fruits and vegetables from local vendor,food
paani ka bill today done done,utilities
end of month cleanup expenses this month done,misc
miscelanious done,misc
Practo consultation cleared this month cleared,healthcare
medicne purchase today cleared,healthcare
stationary purchase this month cleared cleared,shopping
Nykaa products cleared done,shopping
bijli ka bill this month cleared this month today,utilities
chai done,food
monthly salary credited to account today done today cleared,salary
Coursera subscription today today done,education
cold coffee for two today this month cleared today,food
weekend trip with family cleared this month cleared,entertainment
drove to the client site today today cleared,transport
Airbnb stay Pune this month today,travel
Figma team plan cleared,subscriptions
misc today,misc
maal kharida done cleared today,raw_material
rented a car for the week done this month this month cleared,transport
went out with client for dinner today,food
Flight ticket Delhi this month,transport
Business trip Chennai done today this month,travel
Trello Gold done done today,subscriptions
flipkart,shopping
monthly medicines from pharmacy done done done this month done,healthcare
team dinner and bowling after sprint today,entertainment
received outstanding from old project this month this month today,salary
annual maintenance of AC today cleared this month,utilities
Gaming recharge BGMI this month,entertainment
MakeMyTrip package this month done today,travel
breakfast done,food
received payment for last project today this month today cleared,salary
cheezein kharidi done,shopping
annual maintenance of AC done done cleared,utilities
petrol refill at petorl pump done,transport
Client project payment received,salary
received payment for last project cleared,salary
Diagnostic lab test this month,healthcare
Packaging material cleared today done,raw_material
new sim card for office staff cleared,utilities
Amazon office supplies cleared cleared this month,shopping
Email marketing tool cleared,marketing
internet ka bill,utilities
Library subscription today today,education
shoping today done,shopping
bought supplies for the office cleared done today done,shopping
wifi router plan renewed cleared today,utilities
trip ke liye booking cleared,travel
annual maintenance of AC this month this month,utilities
tech accessories restocked cleared today cleared,shopping
Flight ticket Bangalore,travel
Freelancer payment cleared this month,salary
Coursera subscription today this month this month,education
Train ticket Mumbai done cleared,transport
ordered for the night shift this month this month,food
Monthly office space done done done this month,rent
Supplier payment today,raw_material
return flight booked today this month cleared,transport
bike petrol topped up done this month,transport
gym cleared done,healthcare
Flipkart laptop bag,shopping
tech accessories restocked cleared today today,shopping
shoping today,shopping
Website development payment today,salary
tax this month this month,misc
Slack paid plan done cleared,subscriptions
got stationery in bulk,shopping
received outstanding from old project cleared,salary
rented a car for the week done cleared,transport
fun evening after a long sprint today,entertainment
kiraya diya this month,rent
fuel for delivery van today today done,transport
Ola ride to client this month done done today this month,transport
ghar ke liye rashan liya done today,food
breakfast at the station done done today,food
ordered for the night shift this month today today today today cleared,food
anay kharcha this month cleared,misc
return flight booked today cleared,transport
subscribed to binge something new done cleared cleared,entertainment
kaam ka paisa mila cleared this month today this month this month done,salary
gas bill,utilities
Office electricity cleared today this month,utilities
Train ticket Mumbai this month this month,transport
Bulk order material done,raw_material
petrol refill at petorl pump cleared this month,transport
Content creation fee this month cleared,marketing
Inventory restock this month this month done this month this month cleared,raw_material
paid for the warehouse space this month this month,rent
lunch this month this month this month,food
Blinkit instant order cleared,food
GitHub Pro today this month this month,subscriptions
water bill done cleared done today,utilities
Zepto veggies done this month,food
Dominos pizza this month this month,food
Staples stationery today cleared,shopping
client entertainment travel done,travel
Business trip Chennai done today,travel
Consulting fee received cleared cleared,salary
office rent today this month done,rent
team celebratory dinner this month today,food
material this month done cleared today,raw_material
Consultant fee paid cleared today done,salary
Bowling alley cleared done done,entertainment
Warehouse rent this month done,rent
annual maintenance of AC this month today this month done today,utilities
groccery shopping today,food
vendor today cleared cleared today,raw_material
Parking fee this month today today cleared today,transport
Advance tax done done cleared today cleared,misc
stock done,raw_material
Blood test this month cleared today done cleared this month,healthcare
wifi router plan renewed cleared cleared today,utilities
office parking space rent this month,rent
Apollo pharmacy today today,healthcare
vendor today cleared this month,raw_material
maintanence charge cleared,utilities
rented a car for the week done this month this month,transport
Vi mobile bill cleared today,utilities
Parking fee this month done today today,transport
khana,food
amazon done,shopping
Coursera subscription today this month today today,education
evening snacks for the office cleared done this month,food
Nykaa products this month today today today,shopping
Eye checkup,healthcare
generator fuel for power cut cleared,utilities
ola this month,transport
paid for digital marketing done done,marketing
fuel for delivery van today today done done cleared,transport
Client project payment received today cleared,salary
bhojan ke liye paisa this month,food
recharge metro for the week this month,transport
wifi router plan renewed,utilities
prime today cleared,entertainment
material this month cleared,raw_material
team attended a webinar today today,education
rented a car for the week cleared this month today,transport
Coursera subscription today cleared,education
interstate business visit this month this month done today,travel
groceries this month,food
client sent money for the job done,salary
quick meal before the meeting today cleared,food
cab for the late evening,transport
Piped gas bill MGNGL done this month this month cleared,utilities
dinner done this month this month,food
promotion cleared done today cleared,marketing
Coursera subscription today this month today this month done,education
physio session after injury done this month,healthcare
end of month cleanup expenses this month today,misc
payment received today,salary
pantry supplies,food
Hospital bill done cleared today,healthcare
first aid kit restocked cleared this month,healthcare
ordered for the night shift this month today today today done,food
Visa fee cleared,travel
Zomato lunch delivery this month this month,food
Client project payment received today done,salary
annual maintenance of AC this month today done cleared cleared this month,utilities
movie today,entertainment
hosptial bill today cleared this month,healthcare
halwai se mithai li diwali ke liye done this month,food
hospital today today this month,healthcare
team dinner and bowling after sprint done cleared cleared,entertainment
Flipkart laptop bag this month,shopping
Petty cash withdrawal done this month this month done this month,misc
tax this month,misc
Employee wages done,salary
chai aur nashta,food
return flight booked today cleared this month,transport
ghar ke liye rashan liya cleared this month cleared,food
training done this month cleared,education
team attended a webinar today today cleared cleared,education
team attended a webinar this month cleared,education
wifi router plan renewed this month,utilities
miscelanious done this month cleared,misc
Dominos pizza this month today done,food
monthly salary credited to account today done,salary
evening snacks for the office today this month today cleared today,food
rented a car for the week done done,transport
went out with client for dinner cleared cleared,food
Monthly retainer received done,salary
Physiotherapy today,healthcare
inventory this month this month,raw_material
Society maintenance cleared today,utilities
paid for the warehouse space this month cleared,rent
paid for digital marketing done cleared,marketing
Society maintenance today,utilities
Influencer collaboration done today today,marketing
ghar ke liye rashan liya this month done today,food
Canva Pro this month this month today this month,subscriptions
client sent money for the job,salary
App project payment this month cleared cleared done,salary
BSNL landline this month,utilities
team lunch after meeting this month today,food
course,education
ordered food for working late cleared this month cleared this month,food
office parking space rent today cleared,rent
Monthly retainer received cleared done this month,salary
saas subscription cleared,subscriptions
Spotify premium,entertainment
Big Basket groceries today done,food
exhibition in another city this month cleared,travel
annual plan cheaper than monthly this month done,subscriptions
small stuff that adds up,misc
bought reference books for project this month today cleared this month today,education
Dropbox business done,subscriptions
Coursera subscription this month this month this month today,education
subscribed to binge something new done today today,entertainment
client sent money for the job done today,salary
PVR movie tickets this month cleared this month this month cleared,entertainment
uber,transport
PVR movie tickets this month,entertainment
Doctor visit fee cleared done,healthcare
Pamphlet distribution this month this month,marketing
Educational software cleared this month cleared,education
received payment for last project,salary
subscribed to streaming service this month today cleared this month done,entertainment
ola auto booked early morning done today,transport
annual plan cheaper than monthly this month done cleared done,subscriptions
Project milestone payment cleared cleared cleared today,salary
Facebook Ads payment today,marketing
end of month cleanup expenses this month,misc
Printer cartridge cleared cleared done,shopping
showroom lease this month this month,rent
cleared rent dues done today done today done,rent
Flipkart laptop bag this month done this month,shopping
social campaign this quarter cleared this month done,marketing
resturant lunch this month done,food
nashte mein poha banana ke liye ingredients today this month cleared cleared,food
Medicine purchase this month this month,healthcare
Hotel booking Mumbai today,travel
return flight booked today today,transport
dawai li,healthcare
saman kharida cleared today,shopping
Weekend outing today,entertainment
chai cleared done this month today,food
bonus credited this month done,salary
Library subscription this month,education
bonus credited this month,salary
Online certification today done,education
Toll plaza charge done today this month,transport
Zoho CRM subscription,subscriptions
saman kharida done done today cleared this month this month cleared,shopping
replacement parts for equipment done,shopping
team dinner and bowling after sprint today cleared,entertainment
Project milestone payment today cleared,salary
return flight booked cleared done,transport
office ka kiraya,rent
team attended a webinar today today cleared cleared done today,education
trade fair attendance today this month cleared done done this month,travel
Inventory restock this month this month done cleared,raw_material
annual ad budget utilized cleared cleared,marketing
chai aur nashta today done this month,food
Figma team plan today today done today this month,subscriptions
petrol refill at petorl pump cleared,transport
shoping cleared,shopping
gym fees for the month this month done this month,healthcare
vendor cleared today cleared this month,raw_material
bought milk and bread from nearby store this month today done,food
training today this month this month this month this month,education
Vi mobile bill done this month,utilities
maal kharida done,raw_material
misc today today cleared,misc
filled up the tank before the highway trip,transport
office mein sabke liye order kiya this month done cleared done cleared cleared,food
breakfast at the station done today this month,food
received payment for last project today this month today,salary
bulk buy before the rate hike,shopping
material this month done cleared cleared cleared,raw_material
GST payment,misc
Printer cartridge cleared done done,shopping
Client visit Hyderabad,travel
yaar ke saath bahar khaya this month cleared done,food
SEO work for website done today today done today this month,marketing
Library subscription,education
Google Workspace this month today done,subscriptions
repiar cost cleared done cleared done,misc
team dinner and bowling after sprint done this month,entertainment
cheezein kharidi today,shopping
Meesho order cleared cleared done cleared this month,shopping
weekly vegetable haul done today today,food
office ka khana done done today,food
rent done done cleared,rent
inventory topped up before festival this month,raw_material
repair done today this month,misc
Office chair Amazon cleared cleared,shopping
Instagram promotion,marketing
petrol refill at petorl pump cleared today today,transport
new sim card for office staff cleared cleared today cleared,utilities
annual ad budget utilized done cleared this month today,marketing
ofice rent today,rent
gym fees for the month cleared done cleared,healthcare
kiraya done today,rent
mango shake and snacks this month cleared today,food
ordered for the night shift done,food
annual maintenance of AC today today done,utilities
monthly SaaS charges done,subscriptions
Miscellaneous expense today,misc
workshop today today,education
bulk buy before the rate hike done done,shopping
team attended a webinar done today today done,education
Escape room cleared this month,entertainment
movie outing approved by manager today this month,entertainment
Coursera subscription today today cleared cleared,education
Advance tax,misc
petrol refill at petorl pump this month,transport
Microsoft 365 this month done done,subscriptions
Flipkart laptop bag done done,shopping
grabbed a bite near office done this month,food
Swiggy dinner order done done today cleared,food
gas connection recharge today,utilities
return flight booked today today cleared this month,transport
Flight ticket Bangalore this month cleared today,travel
kaam ka paisa mila cleared this month cleared,salary
stock bharwaya,raw_material
ordered food for working late cleared this month cleared this month cleared today,food
rented a car for the week today today cleared,transport
Starbucks coffee cleared cleared this month today,food
upskilling budget used this month this month cleared,education
maintanence charge cleared this month,utilities
lunch,food
tax,misc
bought raw materials from vendor this month cleared today,raw_material
end of month cleanup expenses today,misc
cleared 2 months pending bill,utilities
Toll plaza charge cleared,transport
booked flights for client meeting done cleared,travel
chai cleared cleared this month this month cleared cleared,food
petrol refill at petorl pump cleared this month today today today,transport
Google Ads campaign done,marketing
trade fair attendance today today,travel
annual maintenance of AC this month today done cleared cleared cleared,utilities
Tata Power monthly bill today this month done done,utilities
cleared rent dues done cleared,rent
office ka khana done today done today,food
Monthly retainer received done done done this month this month,salary
PVR movie tickets this month done cleared today,entertainment
Petty cash withdrawal this month,misc
saman kharida cleared today today cleared,shopping
Flight ticket Bangalore cleared done this month today,travel
auto renewal hit the account cleared done,subscriptions
groceries cleared today,food
annual maintenance of AC today cleared done cleared done cleared,utilities
Flight ticket Bangalore cleared,travel
went out with client for dinner today done done,food
snacks liye done this month,food
halwai se mithai li diwali ke liye,food
online shopping for the office cleared,shopping
annual maintenance of AC this month today done this month cleared today this month,utilities
Inventory restock this month cleared cleared today,raw_material
physio session after injury today cleared this month,healthcare
team dinner and bowling after sprint,entertainment
repair this month this month this month,misc
social campaign this quarter cleared,marketing
dinner this month done today,food
Water bill MCGM today,utilities
amazon done this month,shopping
fuel for delivery van today,transport
rent cleared,rent
Payment from ABC Corp today this month this month,salary
weekly vegetable haul done today today today,food
online shopping for the office cleared cleared,shopping
Coursera subscription today today,education
Travel insurance cleared,travel
shopping ki today,shopping
workshop done this month cleared done done done,education
chai cleared cleared,food
petrol refill at petorl pump cleared this month today,transport
paid for skill upgrade training today this month,education
Bowling alley done,entertainment
entertanment cleared today cleared done,entertainment
vision correction glasses cleared this month cleared,healthcare
dawa kharidi cleared this month,healthcare
SEO service payment cleared,marketing
Google Ads campaign done this month,marketing
